Canada,2016A000011124,Emergency,General - both genders,Number of shelters,130
Canada,2016A000011124,Emergency,General - both genders,Number of beds,5535
Canada,2016A000011124,Emergency,General - males,Number of shelters,71
Canada,2016A000011124,Emergency,General - males,Number of beds,4527
Canada,2016A000011124,Emergency,General - females,Number of shelters,70
Canada,2016A000011124,Emergency,General - females,Number of beds,2091
Canada,2016A000011124,Emergency,Youth,Number of shelters,98
Canada,2016A000011124,Emergency,Youth,Number of beds,1536
Canada,2016A000011124,Emergency,Family,Number of shelters,32
Canada,2016A000011124,Emergency,Family,Number of beds,1720
Canada,2016A000011124,Transitional Housing,General - both genders,Number of shelters,89
Canada,2016A000011124,Transitional Housing,General - both genders,Number of beds,2810
Canada,2016A000011124,Transitional Housing,General - males,Number of shelters,59
Canada,2016A000011124,Transitional Housing,General - males,Number of beds,1654
Canada,2016A000011124,Transitional Housing,General - females,Number of shelters,36
Canada,2016A000011124,Transitional Housing,General - females,Number of beds,638
Canada,2016A000011124,Transitional Housing,Youth,Number of shelters,85
Canada,2016A000011124,Transitional Housing,Youth,Number of beds,1025
Canada,2016A000011124,Transitional Housing,Family,Number of shelters,17
Canada,2016A000011124,Transitional Housing,Family,Number of beds,689
Canada,2016A000011124,Violence Against Women,General - females,Number of shelters,455
Canada,2016A000011124,Violence Against Women,General - females,Number of beds,6749
Newfoundland and Labrador,2016A000210,Emergency,General - both genders,Number of shelters,2
Newfoundland and Labrador,2016A000210,Emergency,General - both genders,Number of beds,24
Newfoundland and Labrador,2016A000210,Emergency,General - males,Number of shelters,0
Newfoundland and Labrador,2016A000210,Emergency,General - males,Number of beds,0
Newfoundland and Labrador,2016A000210,Emergency,General - females,Number of shelters,0
Newfoundland and Labrador,2016A000210,Emergency,General - females,Number of beds,0
Newfoundland and Labrador,2016A000210,Emergency,Youth,Number of shelters,2
Newfoundland and Labrador,2016A000210,Emergency,Youth,Number of beds,17
Newfoundland and Labrador,2016A000210,Emergency,Family,Number of shelters,1
Newfoundland and Labrador,2016A000210,Emergency,Family,Number of beds,12
Newfoundland and Labrador,2016A000210,Transitional Housing,General - both genders,Number of shelters,2
Newfoundland and Labrador,2016A000210,Transitional Housing,General - both genders,Number of beds,74
Newfoundland and Labrador,2016A000210,Transitional Housing,General - males,Number of shelters,1
