Newfoundland and Labrador,Carbonear,2011A00051001370,Emergency,General - both genders,Number of shelters,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Emergency,General - both genders,Number of beds,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Emergency,General - males,Number of shelters,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Emergency,General - males,Number of beds,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Emergency,General - females,Number of shelters,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Emergency,General - females,Number of beds,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Emergency,Youth,Number of shelters,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Emergency,Youth,Number of beds,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Emergency,Family,Number of shelters,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Emergency,Family,Number of beds,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Transitional Housing,General - both genders,Number of shelters,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Transitional Housing,General - both genders,Number of beds,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Transitional Housing,General - males,Number of shelters,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Transitional Housing,General - males,Number of beds,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Transitional Housing,General - females,Number of shelters,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Transitional Housing,General - females,Number of beds,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Transitional Housing,Youth,Number of shelters,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Transitional Housing,Youth,Number of beds,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Transitional Housing,Family,Number of shelters,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Transitional Housing,Family,Number of beds,0,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Violence Against Women,General - females,Number of shelters,1,17.6,17.1
Newfoundland and Labrador,Carbonear,2011A00051001370,Violence Against Women,General - females,Number of beds,15,17.6,17.1
Newfoundland and Labrador,Corner Brook,2011A00051005018,Emergency,General - both genders,Number of shelters,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Emergency,General - both genders,Number of beds,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Emergency,General - males,Number of shelters,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Emergency,General - males,Number of beds,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Emergency,General - females,Number of shelters,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Emergency,General - females,Number of beds,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Emergency,Youth,Number of shelters,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Emergency,Youth,Number of beds,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Emergency,Family,Number of shelters,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Emergency,Family,Number of beds,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Transitional Housing,General - both genders,Number of shelters,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Transitional Housing,General - both genders,Number of beds,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Transitional Housing,General - males,Number of shelters,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Transitional Housing,General - males,Number of beds,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Transitional Housing,General - females,Number of shelters,1,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Transitional Housing,General - females,Number of beds,4,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Transitional Housing,Youth,Number of shelters,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Transitional Housing,Youth,Number of beds,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Transitional Housing,Family,Number of shelters,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Transitional Housing,Family,Number of beds,0,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Violence Against Women,General - females,Number of shelters,2,13.3,16.9
Newfoundland and Labrador,Corner Brook,2011A00051005018,Violence Against Women,General - females,Number of beds,33,13.3,16.9
Newfoundland and Labrador,Gander,2011A00051006009,Emergency,General - both genders,Number of shelters,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Emergency,General - both genders,Number of beds,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Emergency,General - males,Number of shelters,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Emergency,General - males,Number of beds,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Emergency,General - females,Number of shelters,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Emergency,General - females,Number of beds,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Emergency,Youth,Number of shelters,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Emergency,Youth,Number of beds,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Emergency,Family,Number of shelters,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Emergency,Family,Number of beds,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Transitional Housing,General - both genders,Number of shelters,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Transitional Housing,General - both genders,Number of beds,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Transitional Housing,General - males,Number of shelters,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Transitional Housing,General - males,Number of beds,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Transitional Housing,General - females,Number of shelters,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Transitional Housing,General - females,Number of beds,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Transitional Housing,Youth,Number of shelters,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Transitional Housing,Youth,Number of beds,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Transitional Housing,Family,Number of shelters,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Transitional Housing,Family,Number of beds,0,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Violence Against Women,General - females,Number of shelters,7,10,12.1
Newfoundland and Labrador,Gander,2011A00051006009,Violence Against Women,General - females,Number of beds,37,10,12.1
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Emergency,General - both genders,Number of shelters,0,8.3,7.4
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Emergency,General - both genders,Number of beds,0,8.3,7.4
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Emergency,General - males,Number of shelters,0,8.3,7.4
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Emergency,General - males,Number of beds,0,8.3,7.4
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Emergency,General - females,Number of shelters,0,8.3,7.4
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Emergency,General - females,Number of beds,0,8.3,7.4
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Emergency,Youth,Number of shelters,0,8.3,7.4
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Emergency,Youth,Number of beds,0,8.3,7.4
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Emergency,Family,Number of shelters,0,8.3,7.4
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Emergency,Family,Number of beds,0,8.3,7.4
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Transitional Housing,General - both genders,Number of shelters,0,8.3,7.4
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Transitional Housing,General - both genders,Number of beds,0,8.3,7.4
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Transitional Housing,General - males,Number of shelters,0,8.3,7.4
Newfoundland and Labrador,Happy Valley-Goose Bay,2011A00051010025,Transitional Housing,General - males,Number of beds,0,8.3,7.4
